扩展名,用途,变种,出处
.crl,"Certificate Revocation List, RFC 5280",CRL,https://en.wikipedia.org/wiki/Certificate_revocation_list
.crontab,cron 计划任务表,crontab,https://man.openbsd.org/crontab
.crt,证书文件(常见 PEM),crt,https://en.wikipedia.org/wiki/X.509
.crw,Canon Raw v1 legacy CIFF,CRW v1;CIFF;lossless JPEG;legacy pre-Canon RAW v2,https://en.wikipedia.org/wiki/Raw_image_format
.crx,Chrome 扩展包,CRX,https://en.wikipedia.org/wiki/Chrome_Extensions
.csh,C shell script,Csh/tcsh;legacy,https://en.wikipedia.org/wiki/C_shell
.cshtml,Razor C# template,ASP.NET Razor;.cshtml,https://en.wikipedia.org/wiki/ASP.NET_Razor
.cso,Compiled Shader Object,CSO,https://en.wikipedia.org/wiki/High-Level_Shading_Language
.csp,Cache Server Pages 或编译脚本,csp,https://www.fileinfo.com/extension/csp
.csproj,.NET C# 项目文件,csproj SDK-style/legacy,https://en.wikipedia.org/wiki/.NET_Project
.csr,"Certificate Signing Request, PKCS#10",CSR/PKCS10,https://en.wikipedia.org/wiki/Certificate_signing_request
.css,Cascading Style Sheets (web styling),CSS 1/2.1/3/3+;W3C;@media;@keyframes,https://en.wikipedia.org/wiki/CSS
.csv,Comma-Separated Values tabular text,RFC 4180;comma/semicolon/tab;UTF-8;Excel/LibreOffice,https://en.wikipedia.org/wiki/Comma-separated_values
.cue,Cue Sheet 描述符,CUE,https://en.wikipedia.org/wiki/Cue_sheet_(computing)
.cue,"CD 镜像描述符文件, 描述 .bin 文件的轨道布局","CD-DA, CD-ROM, mixed",https://en.wikipedia.org/wiki/BIN/CUE
.cur,Windows Cursor (animated/static pointer),CUR format;1-bit AND/XOR mask;hot spot coordinates;animated cursor (.ani) variant,https://en.wikipedia.org/wiki/ICO_(file_format)
.cxx,C++ source code (alternate),C++ ISO/IEC 14882;header .hxx,https://en.wikipedia.org/wiki/C%2B%2B
.d64,"Commodore 64 软盘镜像, 174KB 5.25"" 单面","d64, d71, d81",https://en.wikipedia.org/wiki/D64
.d71,Commodore 64/71 双面软盘镜像,d71,https://en.wikipedia.org/wiki/D64
.d81,"Commodore 64/128 3.5"" 磁盘镜像, 800KB",d81,https://en.wikipedia.org/wiki/D81
.dac,DAC DSD 容器,DAC DSD,https://en.wikipedia.org/wiki/Direct_Stream_Digital
.dae,COLLADA 3D interchange format,COLLADA 1.4/1.5;XML;geometries/animation/physics,https://en.wikipedia.org/wiki/COLLADA
.dar,Burp Suite 保存的会话,dar,https://portswigger.net/burp/documentation
.dart,Dart source code,Dart 1-3+;Flutter;JIT/AOT,https://en.wikipedia.org/wiki/Dart_(programming_language)
.dat,"通用二进制数据, Cache 也用",various,https://en.wikipedia.org/wiki/Data_file
.data,游戏数据文件夹,.data,https://en.wikipedia.org/wiki/Game_data
.dayz,DayZ 资源,DayZ PBO,https://en.wikipedia.org/wiki/DayZ
.db,通用数据库文件扩展名 (SQLite/Jet/Paradox 等),depends on container,https://en.wikipedia.org/wiki/Database
.dbf,dBASE file,DBF III/IV/V;dBase;ESRI attribute,https://en.wikipedia.org/wiki/.dbf
.dbf,dBase/FoxPro/Clipper 数据库表,"dBASE III/IV/V/7, FoxPro, Visual",https://en.wikipedia.org/wiki/DBF
.dbg,调试符号文件,dbg,https://en.wikipedia.org/wiki/Debug_symbol
.dbt,dBase 备注,DBT memo,https://en.wikipedia.org/wiki/DBF
.dbx,Outlook Express 邮件数据库 / dBase/Outlook Express 数据库,"DBX index, dbx v1/v2",https://en.wikipedia.org/wiki/Outlook_Express
.dcf,Olympus/Philips DSC 音频,DCF dictation,https://en.wikipedia.org/wiki/DCF_(file_format)
.dcm,DICOM 医学影像,"dcm, dicom",https://en.wikipedia.org/wiki/DICOM
.dcr,Kodak Digital Camera Raw (legacy),Kodak DCR;DC25/40/50/120;legacy proprietary,https://en.wikipedia.org/wiki/Raw_image_format
.ddl,Data Definition Language script,SQL DDL;CREATE/ALTER/DROP,https://en.wikipedia.org/wiki/Data_Definition_Language
.dds,DirectDraw Surface 纹理,DDS DX9/DX10/DX11,https://en.wikipedia.org/wiki/DirectDraw_Surface
.deb,Debian 软件包,DEB/UDEB,https://en.wikipedia.org/wiki/Deb_(file_format)
.delta,"Delta Lake 增量格式, Parquet + 事务日志",delta 1.x/2.x,https://en.wikipedia.org/wiki/Delta_Lake
.delta_log,Delta Lake 事务日志目录,_delta_log/,https://en.wikipedia.org/wiki/Delta_Lake
.der,"Distinguished Encoding Rules, 二进制证书/密钥",der (X.690),https://en.wikipedia.org/wiki/X.690
.dex,Android Dalvik 可执行,DEX,https://en.wikipedia.org/wiki/Dalvik_(software)
.dff,DSDIFF 文件,DSDIFF,https://en.wikipedia.org/wiki/Direct_Stream_Digital
.dfont,Mac OS X Data Fork Font,DFONT,https://en.wikipedia.org/wiki/DFONT
.dfu,Device Firmware Upgrade,DFU,https://en.wikipedia.org/wiki/Device_firmware_upgrade
.dfxp,Distribution Format Exchange Profile,DFXP,https://en.wikipedia.org/wiki/Timed_Text_Markup_Language
.dib,Device-Independent Bitmap raw BMP without file header,BMP headerless;1/4/8/16/24/32 bpp;used as resource in Windows EXE/DLL,https://en.wikipedia.org/wiki/BMP_file_format
.dic,字典/词库文件(Hunspell/MySpell/OpenOffice),dic,https://en.wikipedia.org/wiki/Hunspell
.dicom,DICOM 完整扩展,dicom,https://en.wikipedia.org/wiki/DICOM
.dict,字典文件(Apple/macOS),dict,https://en.wikipedia.org/wiki/Dictionary_file
.dll,Windows 动态链接库,DLL PE,https://en.wikipedia.org/wiki/Dynamic-link_library
.dmesg,Linux 内核环形缓冲区日志,kernel ring buffer,https://en.wikipedia.org/wiki/Dmesg
.dmg,Apple Disk Image,DMG/SMI,https://en.wikipedia.org/wiki/Apple_Disk_Image
.dml,Data Manipulation Language script,SQL DML;SELECT/INSERT/UPDATE/DELETE,https://en.wikipedia.org/wiki/Data_Manipulation_Language
.dmp,Windows 进程内存转储/通用 dump / Oracle 数据库转储文件,"expdp dump, full dump, full exp, minidump",https://en.wikipedia.org/wiki/Memory_dump
.dng,Adobe Digital Negative raw photo container (also raw),DNG v1.0/1.1/1.2/1.3/1.4/1.5/1.6;lossy/lossless;Adobe standard;RAW/DNG,https://en.wikipedia.org/wiki/Digital_Negative
.do,Stata do-file (脚本),do,https://en.wikipedia.org/wiki/Stata
.doc,Microsoft Word 97-2003 binary document,DOC binary (CFB compound file);Word 97-2003;VBA macros;OLE,https://en.wikipedia.org/wiki/Microsoft_Word
.doc,旧版 Word DOC 复合文件,DOC,https://en.wikipedia.org/wiki/DOC_(computing)
.docker-compose.yml,Docker Compose v1 文件,docker-compose.yml,https://docs.docker.com/compose/compose-file/compose-file-v3/
.dockerfile,Docker 镜像构建脚本,"Dockerfile, dockerfile",https://docs.docker.com/engine/reference/builder/
.dockerignore,Docker 构建忽略规则,dockerignore,https://docs.docker.com/engine/reference/builder/#dockerignore-file
.docm,Microsoft Word 2007+ macro-enabled,OOXML;zip+XML+VBA;macros,https://en.wikipedia.org/wiki/Microsoft_Office_Open_XML
.docx,Microsoft Word 2007+ Open XML document,DOCX/OOXML/ISO/IEC 29500;ECMA-376;zip+XML;strict/transitional,https://en.wikipedia.org/wiki/Microsoft_Word
.docx,Office Open XML Word,DOCX/DOCM,https://en.wikipedia.org/wiki/Office_Open_XML
.docxzip,OOXML zip container (rare),OOXML zip;rare,https://en.wikipedia.org/wiki/Microsoft_Office_Open_XML
.dot,Word 97-2003 template,DOT binary CFB;Word template,https://en.wikipedia.org/wiki/Microsoft_Word
.dotm,Word 2007+ macro-enabled template,OOXML zip+XML+VBA,https://en.wikipedia.org/wiki/Microsoft_Office_Open_XML
.dotx,Word 2007+ Open XML template,OOXML;zip+XML;macro-free,https://en.wikipedia.org/wiki/Microsoft_Office_Open_XML
.dpx,Digital Picture Exchange film/visual-effects raster,DPX 2.0;10-bit log/8/12/16-bit;BGR/ABGR;CEI/ITU-R BT.601-7/BT.709,https://en.wikipedia.org/wiki/Digital_Picture_Exchange
.drc,Dirac 视频 (BBC),DRC/Dirac Pro,https://en.wikipedia.org/wiki/Dirac_(video_compression_format)
.drl,Excellon 数控钻孔,drl,https://en.wikipedia.org/wiki/Excellon_format
.drp,DaVinci Resolve 项目,DRP,https://en.wikipedia.org/wiki/DaVinci_Resolve
.drpx,DaVinci Resolve XML 项目,DRPX,https://en.wikipedia.org/wiki/DaVinci_Resolve
.drv,旧版 Windows 驱动,DRV,https://en.wikipedia.org/wiki/Windows_Driver_Model
.drw,Creo/多 CAD 工程图,drw,https://en.wikipedia.org/wiki/PTC_Creo
.ds2,Olympus DS-2 录音,DS2 dictation,https://en.wikipedia.org/wiki/Olympus_DS
.dsf,DSF DSD 容器,DSF DSD,https://en.wikipedia.org/wiki/Direct_Stream_Digital
.dsk,"通用磁盘镜像, Apple/CPC 等","DOS, ProDOS, CPC",https://en.wikipedia.org/wiki/Disk_image
.dsp,Visual Studio 6.0 Developer Studio Project,dsp,https://en.wikipedia.org/wiki/Visual_Studio
.dss,Digital Speech Standard 录音,DSS/DSS Pro,https://en.wikipedia.org/wiki/Digital_Speech_Standard
.dss2,DSS Pro 增强版,DSS2,https://en.wikipedia.org/wiki/Digital_Speech_Standard
.dsw,Visual Studio 6.0 Workspace,dsw,https://en.wikipedia.org/wiki/Visual_Studio
.dta,Stata dataset,Stata 8-18;.dta;Big Data,https://en.wikipedia.org/wiki/Stata
.dtd,Document Type Definition (SGML/XML),DTD for SGML/XML,https://en.wikipedia.org/wiki/Document_type_definition
.dts,DTS 影院环绕声,DTS/DTS-HD/DTS:X,https://en.wikipedia.org/wiki/DTS_(sound_system)
.dtx,LaTeX documented source (TeX Live),.dtx + .ins;docstrip;TeX Live distribution,https://en.wikipedia.org/wiki/LaTeX
.dump,通用转储,dump,https://en.wikipedia.org/wiki/Core_dump
.dvd,DVD 镜像/视频文件,DVD,https://en.wikipedia.org/wiki/DVD
.dvf,Sony Digital Voice File,DVF/Sony recorder,https://en.wikipedia.org/wiki/Sony_recorders
.dvi,DeVice-Independent file (TeX output),DVI v2/DVI Standard Level 0/1/2/3;TeX output;TFMPK fonts,https://en.wikipedia.org/wiki/Device_independent_file_format
.dvr,DVR 通用扩展,DVR,https://en.wikipedia.org/wiki/Digital_video_recorder
.dvr-ms,Microsoft DVR-MS 电视录制,DVR-MS,https://en.wikipedia.org/wiki/DVR-MS
.dwf,Design Web Format (Autodesk),DWF v5/v6;2D/3D;zipped XML;Intel Content Server,https://en.wikipedia.org/wiki/Design_Web_Format
.dwfx,DWF 基于 XPS 的新版本,dwfx,https://en.wikipedia.org/wiki/Design_Web_Format
.dwg,AutoCAD Drawing native format,DWG R12-R2024;binary;AutoCAD/Compat;vector;3D ACIS,https://en.wikipedia.org/wiki/AutoCAD
.dwg,AutoCAD Drawing 二进制,dwg R1-R32+,https://en.wikipedia.org/wiki/.dwg
.dwt,AutoCAD template,AutoCAD template,https://en.wikipedia.org/wiki/AutoCAD
.dxbc,DirectX Bytecode,DXBC,https://en.wikipedia.org/wiki/High-Level_Shading_Language
.dxf,AutoCAD Drawing Exchange Format (vector 2D/3D),DXF ASCII (R12-R2024) and binary;AutoCAD;2D/3D entities,https://en.wikipedia.org/wiki/AutoCAD_DXF
.dylib,macOS 动态库,Dynamic Library,https://en.wikipedia.org/wiki/Mach-O
.ear,Enterprise Application Archive,EAR,https://en.wikipedia.org/wiki/EAR_(file_format)
.edb,"Microsoft Exchange 数据库, Extensible Storage Engine","edb, ese",https://en.wikipedia.org/wiki/Extensible_Storage_Engine
.editorconfig,EditorConfig 编辑器统一配置,editorconfig,https://editorconfig.org/
.edl,Edit Decision List (CMX/FCP),EDL,https://en.wikipedia.org/wiki/Edit_decision_list
.edn,Extensible Data Notation (Clojure),EDN tagged data;Clojure,https://en.wikipedia.org/wiki/Clojure
.eex,Embedded Elixir template,Elixir Phoenix;.eex,https://en.wikipedia.org/wiki/Phoenix_(web_framework)
.efi,UEFI 可执行,EFI,https://en.wikipedia.org/wiki/Unified_Extensible_Firmware_Interface
.egm,Enigma Game Engine,EGM,https://en.wikipedia.org/wiki/Enigma_(game_engine)
.elasticsearch,Elasticsearch 索引分片文件,"_index, segments",https://en.wikipedia.org/wiki/Elasticsearch
.elf,Executable and Linkable Format,ELF,https://en.wikipedia.org/wiki/Executable_and_Linkable_Format
.elm,Elm source code,Elm 0.19;Functional reactive,https://en.wikipedia.org/wiki/Elm_(programming_language)
.emacs,Emacs 配置(.emacs),emacs,https://www.gnu.org/software/emacs/manual/html_node/emacs/Init-File.html
.emf,Enhanced Metafile Windows vector,EMF 32-bit;Win32 GDI;vector + raster;32-bit,https://en.wikipedia.org/wiki/Enhanced_Metafile
.enc,加密/编码文件,ENC,https://en.wikipedia.org/wiki/Encryption
.enc,IntelliJ 加密密钥文件 (.enc.xml),encrypted,https://www.jetbrains.com/help/idea/
.endnote,EndNote library,EndNote library (.enl),https://en.wikipedia.org/wiki/EndNote
.env,Environment variable definitions,dotenv;KEY=VALUE;dotenv/vault,https://en.wikipedia.org/wiki/Environment_variable
.env,环境变量文件 (.env),env,https://en.wikipedia.org/wiki/.env
.envrc,direnv 环境配置,envrc,https://direnv.net/
.enw,EndNote tagged format,EndNote tag;refman,https://en.wikipedia.org/wiki/EndNote
.eot,Embedded OpenType,EOT,https://en.wikipedia.org/wiki/Embedded_OpenType
.eps,Encapsulated PostScript vector/page description,EPS 1/2/3;PostScript Level 1/2/3;binary/text;preview bitmap,https://en.wikipedia.org/wiki/Encapsulated_PostScript
.epub,Electronic Publication (IDPF) open e-book,EPUB 2.0.1/3.0/3.2 (now W3C);OPDS;reflowable/fixed;zip+XML+HTML,https://en.wikipedia.org/wiki/EPUB
.erb,Embedded Ruby template,Ruby ERB templating,https://en.wikipedia.org/wiki/ERuby
.erf,Epson Raw Format,Epson R-D1 ERF;Epson ERF 16-bit;CCD sensor,https://en.wikipedia.org/wiki/Raw_image_format
.erf,Endace ERF 高速抓包格式,erf v1-v5,https://www.endace.com/erf-documentation.html
.erl,Erlang module,Erlang OTP;module,https://en.wikipedia.org/wiki/Erlang_(programming_language)
.err,标准错误流文件,err,https://en.wikipedia.org/wiki/Standard_streams
.esd,"Windows Electronic Software Download, 加密/压缩 WIM",esd (LZMS),https://en.wikipedia.org/wiki/Windows_Imaging_Format
.eslintrc,ESLint 配置,"eslintrc.json, .eslintrc.js, .eslintrc.yml",https://eslint.org/docs/latest/use/configure/
.eslintrc.js,ESLint JS 格式配置,.eslintrc.js,https://eslint.org/docs/latest/use/configure/
.eslintrc.json,ESLint JSON 配置,.eslintrc.json,https://eslint.org/docs/latest/use/configure/
.etc1,ETC1 (Ericsson Texture Compression),ETC1,https://en.wikipedia.org/wiki/Ericsson_Texture_Compression
.etc2,ETC2 / EAC 纹理,ETC2,https://en.wikipedia.org/wiki/Ericsson_Texture_Compression
.evo,HD DVD MPEG-2 TS 容器,EVO,https://en.wikipedia.org/wiki/HD_DVD
.ex,Erlang source code,Erlang OTP 23-27;BEAM;concurrency,https://en.wikipedia.org/wiki/Erlang_(programming_language)
.exe,Windows 可执行 (PE/MZ),EXE MZ/PE,https://en.wikipedia.org/wiki/.exe
.exfat,"Extended FAT, 闪存优化, 4GB+ 单文件",exFAT,https://en.wikipedia.org/wiki/ExFAT
.exp,Oracle Export 转储文件,"exp, expdp",https://en.wikipedia.org/wiki/Oracle_Database
.exports,NFS /etc/exports 共享定义,exports,https://man.openbsd.org/exports
.exr,OpenEXR high dynamic range image,EXR v1-v2;scanline/tile/tiled RLE/ZIP/PIZ/ZIPS/B44/B44A/DWAA/DWAB;half/float;alpha;deep;multipart,https://en.wikipedia.org/wiki/OpenEXR
.exs,Elixir source code,Elixir 1.x;Erlang VM,https://en.wikipedia.org/wiki/Elixir_(programming_language)
.ext2,"Linux Extended File System v2, 无日志",ext2,https://en.wikipedia.org/wiki/Ext2
.ext3,"Linux Extended File System v3, 加日志","ext3, journal",https://en.wikipedia.org/wiki/Ext3
.ext4,"Linux Extended File System v4, extent + 多块","ext4, extents, 1ExB",https://en.wikipedia.org/wiki/Ext4
.exx,Elixir script (rare),Elixir script,https://en.wikipedia.org/wiki/Elixir_(programming_language)
.f2fs,"Flash-Friendly File System, 三星为 NAND 设计",f2fs,https://en.wikipedia.org/wiki/F2FS
.f3d,Fusion 360 设计,f3d,https://en.wikipedia.org/wiki/Autodesk_Fusion_360
.f3z,Fusion 360 项目包,f3z,https://en.wikipedia.org/wiki/Autodesk_Fusion_360
.f4a,Flash Video 音频 F4A,F4A audio,https://en.wikipedia.org/wiki/Flash_Video
.f4b,Flash Video 有声书,F4B audiobook,https://en.wikipedia.org/wiki/Flash_Video
.f4p,Flash Video 受保护,F4P DRM,https://en.wikipedia.org/wiki/Flash_Video
.f4v,Flash Video ISO BMFF,F4V,https://en.wikipedia.org/wiki/Flash_Video
.fa,FASTA alternate extension,FASTA,https://en.wikipedia.org/wiki/FASTA_format
.factorypath,Eclipse 注解处理器路径,.factorypath,https://en.wikipedia.org/wiki/Eclipse_(software)
.faiss,Facebook AI Similarity Search 向量索引,"faiss index, IVF, HNSW",https://github.com/facebookresearch/faiss/wiki
.far,Farandole Tracker 模块,FAR composer,https://en.wikipedia.org/wiki/Farandole
.fasta,FASTA sequence,FASTA;BLAST,https://en.wikipedia.org/wiki/FASTA_format
.fat,File Allocation Table 通用文件系统,FAT12/16/32/exFAT,https://en.wikipedia.org/wiki/File_Allocation_Table
.fat12,"12-bit FAT, 用于小容量软盘",FAT12,https://en.wikipedia.org/wiki/File_Allocation_Table
.fat16,"16-bit FAT, MS-DOS 主流","FAT16, FAT16B",https://en.wikipedia.org/wiki/File_Allocation_Table
.fat32,"32-bit FAT, 单文件最大 4GB",FAT32,https://en.wikipedia.org/wiki/File_Allocation_Table
.fb2,FictionBook e-book,FictionBook 2/2.1;XML;XSLT stylesheet;Russian origin,https://en.wikipedia.org/wiki/FictionBook
.fbk,FileMaker 备份/或 fzf 索引,FBK,https://en.wikipedia.org/wiki/FileMaker
.fbx,Filmbox (Autodesk) 3D interchange,FBX ASCII/binary;7.x+;ASCII FBX deprecated;animation/skinning,https://en.wikipedia.org/wiki/FBX
.fcpx,Final Cut Pro X 项目,FCPXML,https://en.wikipedia.org/wiki/Final_Cut_Pro
.fcpxml,Final Cut Pro XML,FCPXML,https://en.wikipedia.org/wiki/Final_Cut_Pro
.fdf,Forms Data Format (PDF form data),FDF 1.2/1.3/1.4 (Adobe);form data;PDF interchange,https://en.wikipedia.org/wiki/Forms_Data_Format
.feather,Feather (Apache Arrow) data,Feather v1/v2;Arrow IPC;columnar,https://en.wikipedia.org/wiki/Apache_Arrow
.fff,Imacon/Hasselblad FFF medium-format RAW,Imacon FlexFrame Format;3FR FFF;16-bit,https://en.wikipedia.org/wiki/Raw_image_format
.ffn,FASTA nucleotide coding regions,FASTA nuc,https://en.wikipedia.org/wiki/FASTA_format
.ffs,"Fast File System, BSD 改进 UFS","FFS, UFS2",https://en.wikipedia.org/wiki/Fast_File_System
.fig,MATLAB figure (binary or XML),MATLAB .fig;handle graphics,https://en.wikipedia.org/wiki/MATLAB
.filters,Visual C++ filters 文件,filters,https://en.wikipedia.org/wiki/Visual_Studio
.fish,Fish shell script,Fish 3.x;friendly interactive shell,https://en.wikipedia.org/wiki/Fish_(Unix_shell)
.fish,Friendly Interactive Shell,FISH,https://en.wikipedia.org/wiki/Fish_(shell)
.fit,Alternate extension for FITS,Astronomy FITS;binary;image+header,https://en.wikipedia.org/wiki/FITS
.fits,Flexible Image Transport System astronomy,FITS standard IAU FITS Working Group;N-dimensional arrays;binary table;ASCII header,https://en.wikipedia.org/wiki/FITS
.fla,Adobe Flash Authoring source (project),FLA source for Flash Professional;binary or XML (XFL);binary FLA proprietary,https://en.wikipedia.org/wiki/Flash_(software)
.flac,Free Lossless Audio Codec 无损,FLAC native/Ogg-FLAC,https://en.wikipedia.org/wiki/FLAC
.flc,Autodesk FLIC (FLC) animation extension,FLC 1.0/2.0;arbitrary resolution;RLE;8-bit;animation frames,https://en.wikipedia.org/wiki/FLIC_(file_format)
.fli,Autodesk FLIC (FLI) legacy 320x200 animation,FLI 320x200;RLE;8-bit indexed;FLIC codec,https://en.wikipedia.org/wiki/FLIC_(file_format)
.flif,Free Lossless Image Format (predecessor to JPEG XL),FLIF 1.0/1.1;MANIAC entropy coding;progressive/interlaced;lossless,https://en.wikipedia.org/wiki/FLIF
.flv,Flash Video (FLV),FLV F4V,https://en.wikipedia.org/wiki/Flash_Video
.fna,FASTA nucleic acid,FASTA nucleic,https://en.wikipedia.org/wiki/FASTA_format
.fnt,Windows 位图字体,FNT,https://en.wikipedia.org/wiki/Bitmap_font
.fntx,Unity TMP 字体 FNTX,FNTX,https://en.wikipedia.org/wiki/Unity_(game_engine)
.fodg,Flat ODG,Flat ODG,https://en.wikipedia.org/wiki/OpenDocument
.fodp,Flat ODP,Flat ODP,https://en.wikipedia.org/wiki/OpenDocument
.fods,Flat ODS,Flat ODS,https://en.wikipedia.org/wiki/OpenDocument
.fodt,Flat ODT (uncompressed OpenDocument),FODT 1.3;single XML;LibreOffice flat,https://en.wikipedia.org/wiki/OpenDocument
.fon,Windows 位图字体,FON,https://en.wikipedia.org/wiki/Bitmap_font
.font,Unity TMP 字体,FONT,https://en.wikipedia.org/wiki/Unity_(game_engine)
.fpt,FoxPro 备注字段,FPT memo,https://en.wikipedia.org/wiki/Visual_FoxPro
.fpx,FlashPix bitmap,FlashPix 1.0.2;HP/Kodak,https://en.wikipedia.org/wiki/FlashPix
.fq,FastQ sequence reads,FastQ;Sanger/Illumina,https://en.wikipedia.org/wiki/FASTQ_format
.frag,GLSL 片元着色器,FRAG,https://en.wikipedia.org/wiki/Fragment_shader
.frama-c,Frama-C 配置/项目,frama-c,https://www.frama-c.com/
.framework,macOS framework 目录,Framework,https://en.wikipedia.org/wiki/Framework
.frm,MySQL FRM 表定义 + InnoDB 数据字典,MySQL 5.6-,https://en.wikipedia.org/wiki/MySQL
.fs,F# source code,F# 4/5/6;.fs;ML;Mono,https://en.wikipedia.org/wiki/F_Sharp_(programming_language)
.fsi,F# signature file,F# interface;ML module,https://en.wikipedia.org/wiki/F_Sharp_(programming_language)
.fsproj,.NET F# 项目文件,fsproj,https://en.wikipedia.org/wiki/.NET_Project
.fsx,F# script file,F# scripting;F# Interactive,https://en.wikipedia.org/wiki/F_Sharp_(programming_language)
.fts,Alternate FITS extension,IAU FITS;N-dim array;header+data units (HDU),https://en.wikipedia.org/wiki/FITS
.fw,通用固件,FW,https://en.wikipedia.org/wiki/Firmware
.fx,Microsoft FX shader,FX/FXH,https://en.wikipedia.org/wiki/High-Level_Shading_Language
.fxh,HLSL 头文件,FXH,https://en.wikipedia.org/wiki/High-Level_Shading_Language
.gadget,Windows Vista Gadget,GADGET,https://en.wikipedia.org/wiki/Windows_Vista_gadgets
.gb,GenBank flat file,GenBank,https://en.wikipedia.org/wiki/GenBank
.gb,Game Boy Sound 引擎日志,GB/GBS,https://en.wikipedia.org/wiki/Game_Boy_Player
.gba,Gerber 阻焊顶层,gba,https://en.wikipedia.org/wiki/Gerber_format
.gbk,GenBank flat file (alternate),GenBank,https://en.wikipedia.org/wiki/GenBank
.gbl,Gerber 底层铜,gbl,https://en.wikipedia.org/wiki/Gerber_format
.gbo,Gerber 丝印底层,gbo,https://en.wikipedia.org/wiki/Gerber_format
.gbp,Gerber 焊膏底层,gbp,https://en.wikipedia.org/wiki/Gerber_format
.gbr,Gerber PCB 格式 RS-274X,gbr,https://en.wikipedia.org/wiki/Gerber_format
.gbs,Game Boy Sound 引擎声音,GBS 文件,https://en.wikipedia.org/wiki/Game_Boy_Player
.gbs,Gerber 阻焊底层,gbs,https://en.wikipedia.org/wiki/Gerber_format
.gbt,Gerber 顶层铜,gbt,https://en.wikipedia.org/wiki/Gerber_format
.gdbm,GNU dbm 键值存储,gdbm,https://en.wikipedia.org/wiki/GDBM
.geb,Geneious sequence (biotechnology),Geneious;biotech,https://en.wikipedia.org/wiki/Geneious
.gemfile,Ruby Bundler 依赖声明,Gemfile,https://bundler.io/man/gemfile.5.html
.gemfile.lock,Ruby Bundler 锁定版本,Gemfile.lock,https://bundler.io/man/gemfile.5.html
.gemspec,Ruby gem specification,Ruby Gems;gemspec,https://en.wikipedia.org/wiki/RubyGems
.geojson,GeoJSON geographic features,RFC 7946;GeoJSON,https://en.wikipedia.org/wiki/GeoJSON
.geom,GLSL 几何着色器,GEOM,https://en.wikipedia.org/wiki/Geometry_shader
.gff,General Feature Format,GFF 2/3 (GFF3),https://en.wikipedia.org/wiki/General_feature_format
.gho,Symantec/Norton Ghost 磁盘镜像,GHO v1/v2,https://en.wikipedia.org/wiki/Ghost_(software)
.ghost,Ghost 备份脚本/状态,ghost,https://en.wikipedia.org/wiki/Ghost_(software)
.gif,Graphics Interchange Format raster with 8-bit color and animation support,GIF87a/GIF89a;8-bit indexed color (256 colors);LZW compression;animated GIF;transparent index,https://en.wikipedia.org/wiki/GIF
.gitattributes,Git 属性配置,gitattributes,https://git-scm.com/docs/gitattributes
.gitignore,Git 忽略规则,gitignore,https://git-scm.com/docs/gitignore
.gitlab-ci.yml,GitLab CI/CD 流水线定义,gitlab-ci,https://docs.gitlab.com/ee/ci/yaml/
.glb,Binary glTF (single file),glTF 2.0 binary container;JSON header + BIN chunk + optional images,https://en.wikipedia.org/wiki/GlTF
.glsl,OpenGL GLSL,GLSL/VERT/FRAG,https://en.wikipedia.org/wiki/OpenGL_Shading_Language
.gltf,GL Transmission Format 3D scene (JSON),glTF 1.0/2.0 (JSON);.gltf+.bin+.jpg+.glsl;PBR,https://en.wikipedia.org/wiki/GlTF
.gma,Garry's Mod Addon,GMA,https://en.wikipedia.org/wiki/Garry%27s_Mod
.gml,Geography Markup Language (OGC),GML 3.x/4.x;XML,https://en.wikipedia.org/wiki/Geography_Markup_Language
.gml,Gerber/ArcGIS 标记语言或 GML,gml,https://en.wikipedia.org/wiki/Gerber_format
.gnmap,Nmap greppable 输出,gnmap,https://nmap.org/book/man-output.html
.gnumakefile,GNU Makefile 标准文件名,"GNUmakefile, GNUMakefile",https://www.gnu.org/software/make/
.go,Go language source,Go 1.0+;Google Go;package main,https://en.wikipedia.org/wiki/Go_(programming_language)
.go.mod,Go 模块声明,go.mod,https://go.dev/ref/mod
.go.sum,Go 模块校验和,go.sum,https://go.dev/ref/mod
.gpg,GNU Privacy Guard 签名,GPG,https://en.wikipedia.org/wiki/GNU_Privacy_Guard
.gpg-key,GnuPG 导出的公钥,gpg-key,https://en.wikipedia.org/wiki/GNU_Privacy_Guard
.gpt,Group Policy 模板,gpt,https://en.wikipedia.org/wiki/Group_Policy
.gpx,GPS Exchange Format,GPX 1.0/1.1;XML;waypoint/track/route,https://en.wikipedia.org/wiki/GPS_Exchange_Format
.gql,GraphQL query/script,GraphQL query language,https://en.wikipedia.org/wiki/GraphQL
.gradle,Gradle 构建脚本 (build.gradle),"gradle, Groovy, Kotlin DSL",https://en.wikipedia.org/wiki/Gradle
.graphdb,通用图数据库存储,graphdb,https://en.wikipedia.org/wiki/Graph_database
.graphql,GraphQL schema (Facebook),GraphQL SDL/Introspection,https://en.wikipedia.org/wiki/GraphQL
.grb,GRIB 1/2 (WMO 气象),"grb, grb1",https://en.wikipedia.org/wiki/GRIB
.grb1,GRIB Edition 1,grb1,https://en.wikipedia.org/wiki/GRIB
.grb2,GRIB Edition 2,grb2,https://en.wikipedia.org/wiki/GRIB
.grib,GRIB meteorological grid,GRIB1/GRIB2;WMO;binary,https://en.wikipedia.org/wiki/GRIB
.grib2,GRIB Edition 2 完整扩展,grib2,https://en.wikipedia.org/wiki/GRIB
